ID,PX_MID,TRADING_DT_REALTIME,SETTLE_DT,OPT_EXPIRE_DT,TODAY_DT,BASE_CRNCY,CRNCY,VOL_CURRENCY_ISO_PAIR,OPT_DAYS_EXPIRE,VOL_INSTRUMENT_TYPE,SECURITY_TENOR_ONE,VOL_DELTA
EURUSD25B3W BGN Curncy,0.15,26/2/2013,21/3/2013,19/3/2013,26/2/2013,EUR,USD,EURUSD,21,BF,3W,25D
EURUSD25B1M BGN Curncy,0.17,26/2/2013,28/3/2013,26/3/2013,26/2/2013,EUR,USD,EURUSD,28,BF,1M,25D
EURUSD25B2M BGN Curncy,0.2125,26/2/2013,30/4/2013,26/4/2013,26/2/2013,EUR,USD,EURUSD,59,BF,2M,25D
EURUSD25B3M BGN Curncy,0.2425,26/2/2013,31/5/2013,29/5/2013,26/2/2013,EUR,USD,EURUSD,92,BF,3M,25D
EURUSD25B6M BGN Curncy,0.3225,26/2/2013,30/8/2013,28/8/2013,26/2/2013,EUR,USD,EURUSD,183,BF,6M,25D
EURUSD25B1Y BGN Curncy,0.3425,26/2/2013,28/2/2014,26/2/2014,26/2/2013,EUR,USD,EURUSD,365,BF,1Y,25D
EURUSD25B18M BGN Curncy,0.3525,26/2/2013,29/8/2014,27/8/2014,26/2/2013,EUR,USD,EURUSD,547,BF,18M,25D
EURUSD25B2Y BGN Curncy,0.325,26/2/2013,27/2/2015,25/2/2015,26/2/2013,EUR,USD,EURUSD,729,BF,2Y,25D
EURUSD25B3Y BGN Curncy,0.3125,26/2/2013,29/2/2016,25/2/2016,26/2/2013,EUR,USD,EURUSD,1094,BF,3Y,25D
EURUSD25B5Y BGN Curncy,0.2825,26/2/2013,28/2/2018,26/2/2018,26/2/2013,EUR,USD,EURUSD,1826,BF,5Y,25D
EURUSD25B7Y BGN Curncy,0.3275,26/2/2013,28/2/2020,26/2/2020,26/2/2013,EUR,USD,EURUSD,2556,BF,7Y,25D
EURUSD25B10Y BGN Curncy,0.3075,26/2/2013,28/2/2023,24/2/2023,26/2/2013,EUR,USD,EURUSD,3650,BF,10Y,25D
EURUSD10RON BGN Curncy,-2.715,26/2/2013,27/2/2013,27/2/2013,26/2/2013,EUR,USD,EURUSD,1,RR,1D,10D
EURUSD10R1W BGN Curncy,-1.8425,26/2/2013,7/3/2013,5/3/2013,26/2/2013,EUR,USD,EURUSD,7,RR,1W,10D
EURUSD10R2W BGN Curncy,-1.7575,26/2/2013,14/3/2013,12/3/2013,26/2/2013,EUR,USD,EURUSD,14,RR,2W,10D
EURUSD10R3W BGN Curncy,-1.775,26/2/2013,21/3/2013,19/3/2013,26/2/2013,EUR,USD,EURUSD,21,RR,3W,10D
EURUSD10R1M BGN Curncy,-1.8625,26/2/2013,28/3/2013,26/3/2013,26/2/2013,EUR,USD,EURUSD,28,RR,1M,10D
EURUSD10R2M BGN Curncy,-2.0925,26/2/2013,30/4/2013,26/4/2013,26/2/2013,EUR,USD,EURUSD,59,RR,2M,10D
EURUSD10R3M BGN Curncy,-2.4025,26/2/2013,31/5/2013,29/5/2013,26/2/2013,EUR,USD,EURUSD,92,RR,3M,10D
EURUSD10R6M BGN Curncy,-2.66,26/2/2013,30/8/2013,28/8/2013,26/2/2013,EUR,USD,EURUSD,183,RR,6M,10D
EURUSD10R1Y BGN Curncy,-2.95,26/2/2013,28/2/2014,26/2/2014,26/2/2013,EUR,USD,EURUSD,365,RR,1Y,10D
EURUSD10R18M BGN Curncy,-3.0025,26/2/2013,29/8/2014,27/8/2014,26/2/2013,EUR,USD,EURUSD,547,RR,18M,10D
EURUSD10R2Y BGN Curncy,-2.975,26/2/2013,27/2/2015,25/2/2015,26/2/2013,EUR,USD,EURUSD,729,RR,2Y,10D
EURUSD10R3Y BGN Curncy,-2.9275,26/2/2013,29/2/2016,25/2/2016,26/2/2013,EUR,USD,EURUSD,1094,RR,3Y,10D
